V0	Ø	Time	R
82.31	48.2	8.51	216.58
62.29	68.6	8.83	112.17
88.77	58.7	9.97	197.29
73.16	37.9	6.76	205.48
76.20	59.0	9.22	174.17
86.82	65.5	10.43	163.90
96.48	68.7	11.24	158.18
91.50	47.1	8.88	237.36
72.91	34.9	6.35	204.14
71.19	41.2	7.04	199.36
96.96	62.1	10.74	194.23
62.17	41.6	6.51	174.61
89.19	32.3	6.75	242.74
61.02	32.1	5.31	168.09
92.46	69.3	11.05	149.90
61.58	32.1	5.34	169.77
95.08	31.4	6.84	255.17
60.75	47.7	7.06	165.37
92.51	40.7	8.10	249.28
97.36	55.0	10.07	225.07
68.43	32.8	5.82	190.34
63.45	36.6	6.02	178.52
91.26	58.7	10.12	201.17
71.36	64.2	9.28	145.69
64.03	36.8	6.08	180.28
82.11	43.1	7.90	224.23
75.11	53.0	8.59	190.23
75.99	58.1	9.12	176.85
90.86	37.5	7.58	247.77
83.20	51.3	8.90	211.39
64.13	41.1	6.59	180.34
74.87	36.7	6.69	209.86
60.20	33.3	5.41	166.81
96.52	46.4	9.04	248.41
76.69	59.2	9.27	174.21
89.10	48.2	8.89	230.30
79.29	45.6	8.04	214.53
64.23	60.6	8.46	145.20
86.78	38.1	7.48	238.54
92.73	38.8	7.85	251.21
77.97	61.9	9.58	166.24
61.84	35.4	5.78	173.30
62.67	34.4	5.69	175.07
87.40	39.6	7.71	239.20
76.94	36.7	6.81	215.15
95.73	65.2	10.93	177.08
93.19	42.9	8.43	248.15
89.92	33.6	6.97	245.25
79.44	46.2	8.12	213.86
67.87	63.7	8.98	141.40
90.03	35.6	7.28	246.13
74.09	64.0	9.47	151.16
95.57	33.4	7.18	257.68
83.58	58.7	9.66	188.57
91.24	64.2	10.60	176.21
73.52	62.7	9.33	155.37
62.65	62.7	8.49	134.79
72.73	41.6	7.19	203.07
73.11	47.1	7.84	197.87
94.50	30.7	6.72	253.24
87.15	42.0	8.02	236.54
67.87	44.2	7.18	188.43
77.38	54.3	8.86	191.37
87.98	47.5	8.74	229.65
78.34	50.9	8.58	202.12
67.53	63.7	8.96	140.59
77.15	64.7	9.73	153.38
71.14	31.6	5.81	196.72
92.57	65.5	10.78	171.41
82.69	67.7	10.33	146.78
98.31	35.3	7.59	263.90
82.34	57.7	9.50	190.00
82.10	56.0	9.33	195.25
77.79	55.0	8.95	190.31
65.61	68.5	9.11	117.85
66.91	60.4	8.66	151.39
75.64	46.8	7.97	204.21
63.57	49.7	7.47	169.89
79.08	42.2	7.62	218.13
91.75	46.5	8.81	239.25
68.16	63.4	8.98	143.25
76.85	39.5	7.16	214.51
67.18	64.4	8.98	137.34
79.79	58.3	9.39	183.18
83.97	40.9	7.72	230.56
66.39	65.9	9.01	129.98
73.18	33.6	6.19	204.06
63.73	39.5	6.38	179.62
92.41	55.0	9.81	216.97
98.86	47.1	9.24	251.12
67.40	42.9	7.01	188.28
88.65	58.6	9.96	197.38
88.04	36.2	7.27	241.68
60.06	55.7	7.73	149.07
96.34	54.2	9.93	226.29
87.44	34.9	7.06	240.13
91.00	52.4	9.46	223.00
70.29	45.1	7.45	193.63
92.11	51.2	9.38	228.59
77.76	36.9	6.87	217.22
91.46	49.5	9.15	231.92
96.26	51.5	9.63	234.82
60.79	64.0	8.41	126.71
82.95	43.2	7.96	225.95
84.44	38.4	7.40	233.09
62.31	54.8	7.84	156.63
