V0	Ø	Time	R
97.34	39.9	8.18	247.88
92.75	40.2	8.13	275.99
71.49	50.3	8.12	198.54
87.80	62.2	10.14	150.46
65.15	51.6	7.77	172.16
66.54	49.1	7.66	189.86
77.21	51.2	8.63	223.13
75.24	64.2	9.58	156.86
72.19	61.8	9.08	132.75
63.27	65.3	8.73	129.83
93.62	57.7	10.23	232.92
89.08	57.8	9.99	227.92
87.27	38.5	7.52	226.15
62.95	41.3	6.61	194.10
69.34	64.8	9.22	153.13
71.98	53.6	8.39	169.32
86.49	45.8	8.40	212.94
93.21	60.1	10.40	213.26
63.76	67.5	8.95	136.56
68.17	39.1	6.63	195.59
91.33	37.5	7.68	272.06
97.32	35.5	7.64	286.53
67.71	67.6	9.24	131.10
67.84	58.8	8.57	150.97
79.21	33.7	6.51	222.16
81.42	37.4	7.16	235.49
77.81	58.6	9.37	203.32
68.19	37.1	6.40	199.26
76.35	30.9	6.04	229.40
94.59	39.7	8.14	281.30
64.92	45.4	7.15	188.64
78.07	68.7	10.04	122.32
96.99	45.1	8.79	219.75
87.50	49.9	9.08	249.36
77.16	42.7	7.52	197.15
72.38	58.0	8.88	173.97
66.12	54.8	8.19	181.11
65.10	62.8	8.73	147.60
96.60	37.8	7.80	235.23
94.54	32.8	7.08	261.58
61.59	40.5	6.44	192.80
79.03	66.7	10.03	153.48
60.29	56.5	7.89	166.26
85.00	34.9	6.99	244.79
70.50	62.3	9.08	151.96
82.02	36.4	6.99	220.23
90.05	65.9	10.58	136.31
85.71	45.1	8.30	219.21
69.48	62.2	9.05	164.84
65.10	33.4	5.78	195.08
94.84	58.2	10.37	244.84
69.47	52.2	8.05	157.51
78.75	43.4	7.74	211.17
95.81	48.9	9.41	273.15
66.89	31.0	5.56	199.66
61.14	50.8	7.34	151.68
67.57	65.6	9.10	138.37
60.38	43.0	6.55	168.30
73.18	50.8	8.25	193.31
99.37	33.7	7.42	278.82
64.76	61.3	8.53	135.93
79.53	61.9	9.77	196.41
70.47	57.5	8.59	141.73
63.46	64.5	8.74	146.92
94.58	63.8	10.69	156.37
66.20	57.9	8.44	166.23
87.07	68.9	10.74	166.36
69.06	43.4	7.22	204.12
64.11	37.1	6.08	168.72
62.54	57.4	8.04	143.85
95.53	62.8	10.67	168.25
94.46	65.2	10.77	142.08
87.22	55.2	9.51	195.38
75.70	65.1	9.69	157.54
66.97	52.9	7.98	163.72
63.73	62.0	8.51	137.37
65.49	65.8	8.95	134.61
91.04	58.6	10.06	190.25
90.30	68.9	10.97	181.60
89.75	39.7	7.86	252.94
79.70	34.7	6.61	206.02
91.64	67.0	10.88	179.54
61.22	48.9	7.21	164.43
70.49	30.2	5.64	211.62
82.87	50.3	8.70	187.87
98.45	61.3	10.64	163.04
62.14	52.7	7.64	162.44
92.75	69.6	11.11	157.98
82.76	42.8	7.88	223.42
61.93	34.1	5.64	178.62
94.75	54.5	9.82	204.21
70.80	68.8	9.62	151.11
71.93	66.5	9.49	140.61
84.20	44.8	8.22	225.33
69.92	45.8	7.54	202.56
64.68	32.6	5.53	165.78
83.74	36.0	7.06	234.35
77.92	42.1	7.58	226.70
77.72	38.7	7.12	222.19
87.21	69.8	10.82	163.88
85.46	42.1	8.03	258.30
61.83	52.2	7.64	176.66
63.60	42.5	6.70	174.16
71.38	42.3	7.26	219.11
66.72	51.9	7.90	172.97
64.35	64.8	8.81	139.05
83.82	47.6	8.58	236.40
94.07	63.4	10.79	219.76
78.22	32.5	6.30	219.97
97.02	56.3	10.09	184.41
81.25	36.7	7.05	236.56
65.73	34.2	5.83	177.82
95.46	63.4	10.76	183.08
92.68	47.5	9.06	263.13
65.42	32.0	5.60	194.72
68.83	43.2	7.21	210.36
72.49	36.6	6.57	209.88
77.67	66.3	9.84	132.12
