V0	Ø	w	Time	R
93.40	50.1	-2.0	9.28	219.76
63.69	66.4	-3.6	8.75	105.39
83.33	38.7	1.5	7.42	238.76
88.26	55.0	-4.3	9.49	180.63
76.59	46.4	4.5	8.07	232.28
69.14	48.6	-4.2	7.67	164.36
64.35	68.5	-4.9	8.91	91.67
67.92	45.5	-1.6	7.30	179.31
72.40	31.5	4.2	5.92	216.92
61.83	32.1	-4.9	5.30	154.13
67.34	65.7	-3.3	9.01	115.21
61.12	38.1	3.9	6.12	186.90
93.58	64.8	-4.2	10.70	145.13
95.48	64.8	2.9	10.94	200.98
85.80	40.9	-1.1	7.79	228.48
76.80	32.3	2.0	6.22	221.07
87.28	53.4	-4.6	9.26	182.83
93.69	43.9	-1.8	8.55	236.02
97.43	58.2	-2.0	10.36	197.41
72.49	61.8	-3.1	9.12	139.26
67.01	66.6	1.5	9.13	136.30
63.09	63.8	3.5	8.66	148.71
67.55	60.2	4.2	8.78	175.01
90.42	40.9	4.8	8.13	274.02
70.89	50.3	-3.7	7.96	167.07
88.90	60.0	-3.4	10.03	168.37
71.24	40.5	0.7	6.97	203.32
91.03	56.3	-0.7	9.86	205.46
76.96	60.1	1.7	9.40	181.61
83.79	55.8	-0.4	9.40	196.73
77.99	52.5	-2.1	8.67	185.40
66.86	49.3	-4.5	7.57	156.91
88.94	43.8	-1.1	8.31	231.26
83.20	48.7	-1.2	8.59	210.34
86.56	69.4	-4.1	10.61	114.59
83.75	47.5	1.2	8.54	228.57
81.66	67.7	3.9	10.33	170.07
75.40	56.0	3.2	8.96	201.10
71.75	50.4	-2.3	8.05	176.24
76.80	61.4	-4.0	9.37	141.88
86.37	40.0	2.3	7.77	249.58
93.73	57.0	2.8	10.15	232.12
69.87	67.4	-0.3	9.38	128.20
96.85	34.6	-3.6	7.35	240.03
81.36	55.6	0.5	9.25	198.14
69.70	42.1	-2.6	7.01	182.73
75.36	67.8	3.2	9.88	155.23
75.96	52.6	-4.2	8.51	168.83
73.49	45.1	-2.9	7.58	186.70
79.89	43.7	-3.1	7.79	201.39
91.90	37.4	-3.1	7.57	232.03
90.93	60.8	-3.9	10.21	163.75
99.31	43.9	-4.8	8.74	225.91
85.42	32.6	2.0	6.66	243.78
70.55	38.1	2.8	6.68	211.43
65.02	54.6	-0.7	8.02	160.03
75.06	30.9	-1.5	5.88	200.26
79.52	56.4	3.9	9.28	213.52
93.23	67.0	1.7	10.96	176.60
68.83	62.6	-1.8	8.94	137.68
71.51	57.1	3.0	8.79	187.92
63.90	66.8	-0.7	8.85	118.98
88.73	31.8	3.2	6.70	257.16
94.43	34.9	3.2	7.42	274.10
96.69	31.7	-0.5	6.95	255.98
90.24	61.7	-2.0	10.29	172.12
69.80	61.5	2.9	9.02	168.59
85.63	55.0	-4.8	9.33	173.53
67.95	67.1	-4.1	9.14	106.33
93.09	44.0	-4.2	8.47	219.29
67.71	54.7	3.5	8.31	187.86
90.42	30.8	-4.9	6.49	220.13
95.28	51.3	-1.5	9.52	223.47
90.41	39.1	-4.5	7.71	219.62
71.09	55.2	-1.8	8.48	165.93
78.60	51.2	2.2	8.67	214.94
98.76	53.2	-2.7	9.89	214.04
64.78	52.8	0.0	7.85	167.36
83.12	44.6	-1.8	8.10	213.78
98.37	32.5	3.6	7.21	283.03
99.39	35.2	-0.0	7.60	266.02
88.61	55.6	3.3	9.74	230.94
63.21	62.0	-3.0	8.43	123.50
99.98	65.3	3.8	11.25	211.39
69.77	61.7	-2.6	8.93	137.91
96.95	47.5	1.1	9.22	254.58
60.88	34.1	-2.1	5.52	162.10
68.91	31.9	4.9	5.80	209.83
87.24	65.2	2.2	10.48	181.31
90.46	35.6	0.1	7.30	247.65
81.31	43.2	0.3	7.87	223.85
86.58	46.9	1.6	8.63	238.16
75.65	33.1	0.3	6.25	211.55
91.96	50.6	1.1	9.33	237.46
91.23	59.9	4.6	10.32	229.31
81.02	38.2	-2.9	7.16	209.91
97.15	35.4	0.4	7.55	263.98
92.95	35.3	1.8	7.39	262.85
61.91	37.5	4.2	6.10	190.19
90.49	53.6	-2.2	9.51	203.55
70.11	65.6	-1.6	9.25	129.07
65.13	56.1	-2.8	8.11	146.41
90.45	61.1	3.8	10.37	216.30
86.26	46.2	4.2	8.59	254.79
77.32	56.5	4.9	9.17	214.05
78.73	62.9	0.5	9.72	166.60
88.14	68.5	0.5	10.74	152.88
67.06	36.9	3.2	6.33	202.16
98.04	59.7	1.0	10.60	214.76
65.82	54.4	1.9	8.10	175.38
62.82	54.0	2.3	7.85	170.54
66.63	53.6	-3.0	8.00	154.44
85.51	37.2	3.1	7.36	252.47
67.22	53.4	1.2	8.11	177.95
67.78	67.6	2.1	9.27	136.13
76.90	55.0	-2.1	8.85	176.24
74.16	43.2	1.5	7.49	213.09
72.11	64.4	-3.9	9.28	123.98
62.96	44.3	1.7	6.90	182.40
77.34	61.1	3.2	9.53	188.07
87.14	49.1	-4.2	8.79	197.30
85.69	65.8	-4.0	10.30	133.84
95.84	53.0	3.3	9.85	253.19
85.94	50.6	2.5	9.04	234.79
93.90	62.1	-3.8	10.49	161.97
68.58	55.1	4.0	8.42	191.33
81.96	64.9	-4.2	9.99	132.49
70.19	30.5	-2.8	5.56	181.97
94.97	46.9	-1.7	8.99	232.78
80.38	43.5	-1.4	7.82	212.22
96.85	43.4	-4.7	8.56	223.86
89.94	32.8	3.9	6.92	264.91
93.56	34.1	-2.0	7.18	242.82
82.98	37.4	2.4	7.25	242.40
74.94	41.4	-2.4	7.25	196.58
67.38	41.2	-0.3	6.81	187.83
92.11	41.0	-0.1	8.12	247.58
85.06	49.0	-1.9	8.72	208.69
61.49	35.9	-4.6	5.75	155.50
85.79	67.8	0.8	10.55	156.04
86.14	51.5	3.9	9.18	241.90
88.69	59.1	3.5	10.08	219.41
75.06	68.9	4.3	9.94	155.26
83.06	67.9	-2.5	10.32	129.62
61.05	66.1	4.8	8.65	141.15
83.65	39.0	-0.9	7.43	226.04
